id,geo_city,country,weight,rep_patent,lat,lon
1h4t705z162t293e5n2y1z4r325d5j336k5r3v6p,"Somerville, MA",US,0.125,US8906668,42.3875968,-71.0994968
1h4t705z162t293e5n2y1z4r325d5j336k5r3v6p,"Boston, MA",US,0.25,US8906668,42.3588336,-71.0578303
1h4t705z162t293e5n2y1z4r325d5j336k5r3v6p,"Northborough, MA",US,0.125,US8906668,42.3196015,-71.6422408
1h4t705z162t293e5n2y1z4r325d5j336k5r3v6p,"Brookline, MA",US,0.125,US8906668,42.332918,-71.1187829
1h4t705z162t293e5n2y1z4r325d5j336k5r3v6p,"Brooklyn, NY",US,0.125,US8906668,40.6526006,-73.9497211
1h4t705z162t293e5n2y1z4r325d5j336k5r3v6p,"Cambridge, MA",US,0.125,US8906668,42.3656347,-71.1040018
1h4t705z162t293e5n2y1z4r325d5j336k5r3v6p,"Doylestown, PA",US,0.125,US8906668,40.3100446,-75.1304588
4a6b2ek54196u6v481elu651e6b1fs2zc36,"Menlo Park, CA",US,0.25,US9534241,37.4519671,-122.177992
4a6b2ek54196u6v481elu651e6b1fs2zc36,"Sunnyvale, CA",US,0.25,US9534241,37.3688301,-122.036349
4a6b2ek54196u6v481elu651e6b1fs2zc36,"Redwood City, CA",US,0.25,US9534241,37.4863239,-122.232523
4a6b2ek54196u6v481elu651e6b1fs2zc36,"Palo Alto, CA",US,0.25,US9534241,37.4443293,-122.1598465
5q6o1l3p51605w602b245mf5l1t3j4750166ga,Oxford,GB,1.0,US9536718,51.7520131,-1.2578499
1s471og3z3t1sd2n2u55dt6b6l4q5v33355w,"Cardiff by the Sea, CA",US,0.5,US9540676,33.0220155,-117.2803463
1s471og3z3t1sd2n2u55dt6b6l4q5v33355w,"San Diego, CA",US,0.5,US9540676,32.7174202,-117.162772
r6e234q3n5v486j544q212y3tu4b1d676g71q,"Brookline, MA",US,0.5,US9540685,42.332918,-71.1187829
r6e234q3n5v486j544q212y3tu4b1d676g71q,"Cambridge, MA",US,0.5,US9540685,42.3656347,-71.1040018
3z5x1m2r2k5fhy202v1m15573r4i536n6sg1c,Saint-Augustin-de-Desmaures,CA,0.3333333333333333,US9546375,46.743354,-71.4569733
3z5x1m2r2k5fhy202v1m15573r4i536n6sg1c,Neuville,CA,0.3333333333333333,US9546375,46.698199,-71.584854
3z5x1m2r2k5fhy202v1m15573r4i536n6sg1c,Saint-Romuald,CA,0.3333333333333333,US9546375,46.7565684,-71.2378772
